iter	Passed	Remaining
1195	10979	34920
1196	10988	34910
1197	10996	34899
1198	11005	34889
1199	11014	34879
1200	11023	34869
1201	11032	34859
1202	11041	34848
1203	11050	34839
1204	11059	34828
1205	11069	34823
1206	11078	34815
1207	11087	34805
1208	11097	34796
1209	11108	34793
1210	11117	34784
1211	11126	34773
1212	11135	34763
1213	11143	34753
1214	11152	34742
1215	11161	34733
1216	11170	34723
1217	11179	34713
1218	11188	34702
1219	11196	34692
1220	11205	34681
1221	11214	34671
1222	11223	34660
1223	11231	34649
1224	11241	34641
1225	11250	34631
1226	11260	34624
1227	11269	34616
1228	11278	34606
1229	11287	34597
1230	11297	34589
1231	11306	34580
1232	11315	34570
1233	11324	34561
1234	11333	34550
1235	11342	34542
1236	11351	34533
1237	11361	34523
1238	11370	34515
1239	11378	34504
1240	11387	34493
1241	11396	34483
1242	11405	34473
1243	11414	34462
1244	11423	34454
1245	11432	34443
1246	11441	34433
1247	11450	34423
1248	11459	34414
1249	11468	34404
1250	11478	34399
1251	11488	34391
1252	11497	34381
1253	11506	34373
1254	11516	34365
1255	11525	34354
1256	11534	34345
1257	11543	34336
1258	11552	34328
1259	11561	34317
1260	11570	34308
1261	11579	34297
1262	11588	34289
1263	11597	34279
1264	11606	34270
1265	11615	34259
1266	11624	34249
1267	11633	34239
1268	11642	34229
1269	11651	34221
1270	11661	34212
1271	11669	34202
1272	11678	34191
1273	11688	34185
1274	11697	34174
1275	11706	34166
1276	11715	34157
1277	11724	34146
1278	11735	34140
1279	11745	34134
1280	11754	34125
1281	11763	34114
1282	11771	34103
1283	11780	34092
1284	11788	34081
1285	11797	34071
1286	11806	34060
1287	11814	34050
1288	11823	34040
1289	11832	34029
1290	11841	34019
1291	11849	34008
1292	11858	33997
1293	11867	33988
1294	11876	33979
1295	11885	33969
1296	11894	33959
1297	11903	33948
1298	11911	33937
1299	11920	33926
1300	11930	33920
1301	11938	33909
1302	11947	33899
1303	11956	33889
1304	11966	33883
1305	11975	33872
1306	11984	33862
1307	11993	33852
1308	12001	33841
1309	12010	33830
1310	12019	33821
1311	12028	33813
1312	12048	33833
1313	12069	33856
1314	12084	33865
1315	12095	33860
1316	12106	33854
1317	12115	33845
1318	12124	33836
1319	12133	33826
1320	12142	33817
1321	12151	33807
1322	12161	33801
1323	12171	33792
1324	12180	33783
1325	12190	33776
1326	12199	33766
1327	12208	33757
1328	12217	33747
1329	12226	33737
1330	12235	33728
1331	12244	33718
1332	12253	33709
1333	12263	33701
1334	12273	33694
1335	12282	33684
1336	12291	33675
1337	12300	33666
1338	12309	33656
1339	12319	33647
1340	12327	33637
1341	12337	33628
1342	12346	33618
1343	12355	33610
1344	12364	33600
1345	12373	33590
1346	12382	33580
1347	12391	33570
1348	12400	33562
1349	12409	33552
1350	12418	33542
1351	12427	33532
1352	12436	33523
1353	12445	33513
1354	12454	33503
1355	12463	33493
1356	12473	33486
1357	12482	33475
1358	12491	33466
1359	12500	33457
1360	12510	33449
1361	12520	33443
1362	12529	33433
1363	12538	33424
1364	12547	33414
1365	12556	33405
1366	12565	33395
1367	12574	33384
1368	12583	33375
1369	12592	33365
1370	12601	33355
1371	12611	33348
1372	12620	33338
1373	12629	33328
1374	12637	33318
1375	12646	33308
1376	12655	33298
1377	12665	33289
1378	12674	33280
1379	12684	33273
1380	12696	33272
1381	12714	33286
1382	12729	33292
1383	12747	33306
1384	12757	33297
1385	12765	33286
1386	12774	33277
1387	12783	33266
1388	12792	33257
1389	12801	33247
1390	12811	33239
1391	12820	33229
1392	12829	33219
1393	12838	33209
1394	12847	33200
1395	12856	33191
1396	12865	33182
1397	12874	33172
1398	12884	33163
1399	12893	33153
1400	12901	33142
1401	12912	33136
1402	12920	33126
1403	12929	33114
1404	12938	33104
1405	12946	33094
1406	12955	33084
1407	12964	33074
1408	12972	33063
1409	12981	33052
1410	12990	33041
1411	12998	33031
1412	13007	33020
1413	13016	33010
1414	13025	33000
1415	13033	32989
1416	13042	32978
1417	13052	32971
1418	13061	32961
1419	13070	32952
1420	13079	32942
1421	13088	32931
1422	13096	32921
1423	13105	32911
1424	13114	32901
1425	13123	32891
1426	13131	32879
1427	13140	32869
1428	13149	32859
1429	13159	32852
1430	13168	32842
1431	13176	32831
1432	13185	32820
